# OUT_OF_SCOPE — série de valores, não entra na skill.
# Manutenção separada (regra 4 de 01-plano-extracao.md). Aqui só como
# evidência de conferência contra a tabela mantida à parte.
# documento=manual-de-calculo-trabalhista_2016-1.pdf emissor=TRT-3, Secretaria de Cálculos Judiciais, julho/2016 offset_paginacao=0
# RPS (Dec. 3048/99), Anexo V, vigente até 31/05/2007. Códigos CNAE 1.0.
# grau 1 = risco leve (1%), 2 = médio (2%), 3 = grave (3%) — do próprio
# cabeçalho do original, p400. Os títulos de divisão e grupo (sem grau)
# não entram: a linha de dado é a que tem grau de risco.
pagina_pdf,item,codigo_cnae,codigo_no_original,descricao_atividade,grau_risco,aliquota_pct
407,18.8.1,29.65-3,,"fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos",3,"3,00"
407,18.8.1,29.69-6,,fabricação de outras máquinas e equipamentos de uso específico,3,"3,00"
407,18.8.1,29.71-8,,fabricação de armas de fogo e munições,3,"3,00"
407,18.8.1,29.72-6,,fabricação de equipamento bélico pesado,3,"3,00"
407,18.8.1,29.81-5,,"fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico",2,"2,00"
407,18.8.1,29.89-0,,fabricação de outros aparelhos eletrodomésticos,2,"2,00"
407,18.8.1,30.11-2,,"fabricação de máquinas de escrever e calcular, copiadoras e outros equipamentos não-eletrônicos para escritório",3,"3,00"
407,18.8.1,30.12-0,,"fabricação de máquinas de escrever e calcular, copiadoras e outros equipamentos eletrônicos destinados à automação gerencial e comercial",3,"3,00"
407,18.8.1,30.21-0,,fabricação de computadores,2,"2,00"
407,18.8.1,30.22-8,,fabricação de equipamentos periféricos para máquinas eletrônicas para tratamento de informações,2,"2,00"
407,18.8.1,31.11-9,,fabricação de geradores de corrente contínua ou alternada,3,"3,00"
407,18.8.1,31.12-7,,"fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes",3,"3,00"
407,18.8.1,31.13-5,,fabricação de motores elétricos,3,"3,00"
407,18.8.1,31.21-6,,"fabricação de subestações, quadros de comando, reguladores de voltagem e outros aparelhos e equipamentos para distribuição e controle de energia",3,"3,00"
407,18.8.1,31.22-4,,fabricação de material elétrico para instalações em circuito de consumo,3,"3,00"
407,18.8.1,31.30-5,,"fabricação de fios, cabos e condutores elétricos isolados",3,"3,00"
407,18.8.1,31.41-0,,"fabricação de pilhas, baterias e acumuladores elétricos - exclusive para veículos",3,"3,00"
407,18.8.1,31.42-9,,fabricação de baterias e acumuladores para veículos,3,"3,00"
407,18.8.1,31.51-8,,fabricação de lâmpadas,3,"3,00"
407,18.8.1,31.52-6,,fabricação de luminárias e equipamentos de iluminação - exclusive para veículos,3,"3,00"
407,18.8.1,31.60-7,,fabricação de material elétrico para veículos - exclusive baterias,3,"3,00"
407,18.8.1,31.91-7,,"fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroimãs e isoladores",3,"3,00"
407,18.8.1,31.92-5,,fabricação de aparelhos e utensílios para sinalização e alarme,3,"3,00"
407,18.8.1,31.99-2,,fabricação de outros aparelhos ou equipamentos elétricos,3,"3,00"
407,18.8.1,32.10-7,,fabricação de material eletrônico básico,3,"3,00"
407,18.8.1,32.21-2,,"fabricação de equipamentos transmissores de rádio e televisão e de equipamentos para estações 408 telefônicas, para radiotelefonia e radiotelegrafia - inclusive de microondas e repetidoras",3,"3,00"
408,18.8.1,32.22-0,,"fabricação de aparelhos telefônicos, sistemas de intercomunicação e semelhantes",3,"3,00"
408,18.8.1,32.30-1,,"fabricação de aparelhos receptores de rádio e televisão e de reprodução, gravação ou amplificação de som e vídeo",2,"2,00"
408,18.8.1,33.10-3,,"fabricação de aparelhos e instrumentos para usos médico-hospitalares, odontológicos e de laboratórios e aparelhos ortopédicos",3,"3,00"
408,18.8.1,33.20-0,,"fabricação de aparelhos e instrumentos de medida, teste e controle - exclusive equipamentos para controle de processos industriais",3,"3,00"
408,18.8.1,33.30-8,,"fabricação de máquinas, aparelhos e equipamentos de sistemas eletrônicos dedicados à automação industrial e controle do processo produtivo",3,"3,00"
408,18.8.1,33.40-5,,"fabricação de aparelhos, instrumentos e materiais óticos, fotográficos e cinematográficos",3,"3,00"
408,18.8.1,33.50-2,,fabricação de cronômetros e relógios,3,"3,00"
408,18.8.1,34.10-0,,"fabricação de automóveis, camionetas e utilitários",2,"2,00"
408,18.8.1,34.20-7,,fabricação de caminhões e ônibus,2,"2,00"
408,18.8.1,34.31-2,,"fabricação de cabines, carrocerias e reboques para caminhão",3,"3,00"
408,18.8.1,34.32-0,,fabricação de carrocerias para ônibus,3,"3,00"
408,18.8.1,34.39-8,,"fabricação de cabines, carrocerias e reboques para outros veículos",3,"3,00"
408,18.8.1,34.41-0,,fabricação de peças e acessórios para o sistema motor,2,"2,00"
408,18.8.1,34.42-8,,fabricação de peças e acessórios para os sistemas de marcha e transmissão,2,"2,00"
408,18.8.1,34.43-6,,fabricação de peças e acessórios para o sistema de freios,2,"2,00"
408,18.8.1,34.44-4,,fabricação de peças e acessórios para o sistema de direção e suspensão,2,"2,00"
408,18.8.1,34.49-5,,fabricação de peças e acessórios de metal para veículos automotores não classificados em outra classe,2,"2,00"
408,18.8.1,34.50-9,,recondicionamento ou recuperação de motores para veículos automotores,3,"3,00"
408,18.8.1,35.11-4,,construção e reparação de embarcações e estruturas flutuantes,3,"3,00"
408,18.8.1,35.12-2,,construção e reparação de embarcações para esporte e lazer,3,"3,00"
408,18.8.1,35.21-1,,"construção e montagem de locomotivas, vagões e outros materiais rodantes",3,"3,00"
408,18.8.1,35.22-0,,fabricação de peças e acessórios para veículos ferroviários,3,"3,00"
408,18.8.1,35.23-8,,reparação de veículos ferroviários,3,"3,00"
409,18.8.1,35.31-9,,construção e montagem de aeronaves,3,"3,00"
409,18.8.1,35.32-7,,reparação de aeronaves,3,"3,00"
409,18.8.1,35.91-2,,fabricação de motocicletas,3,"3,00"
409,18.8.1,35.92-0,,fabricação de bicicletas e triciclos não-motorizados,3,"3,00"
409,18.8.1,35.99-8,,fabricação de outros equipamentos de transporte,3,"3,00"
